INFO:2020-11-29 17:10:54,081127.0.0.1 - - [29/Nov/2020 17:10:54] "[37mGET / HTTP/1.1[0m" 200 -
DEBUG:2020-11-29 17:10:58,137Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG:2020-11-29 17:10:58,289https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22name%22%3A%22areaName%22%2C%22code%22%3A%22areaCode%22%2C%22cases%22%3A%7B%22daily%22%3A%22newCasesByPublishDate%22%2C%22cumulative%22%3A%22cumCasesByPublishDate%22%7D%2C%22deaths%22%3A%7B%22daily%22%3A%22newDeathsByDeathDate%22%2C%22cumulative%22%3A%22cumDeathsByDeathDate%22%7D%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG:2020-11-29 17:10:58,302Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG:2020-11-29 17:10:58,953https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22name%22%3A%22areaName%22%2C%22code%22%3A%22areaCode%22%2C%22cases%22%3A%7B%22daily%22%3A%22newCasesByPublishDate%22%2C%22cumulative%22%3A%22cumCasesByPublishDate%22%7D%2C%22deaths%22%3A%7B%22daily%22%3A%22newDeathsByDeathDate%22%2C%22cumulative%22%3A%22cumDeathsByDeathDate%22%7D%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG:2020-11-29 17:10:58,966Starting new HTTPS connection (1): newsapi.org:443
DEBUG:2020-11-29 17:10:59,186https://newsapi.org:443 "GET /v2/top-headlines?country=gb&apiKey=92b7dea9e59f49389199f9c3e60a8175 HTTP/1.1" 200 None
DEBUG:2020-11-29 17:10:59,195Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG:2020-11-29 17:10:59,253http://api.openweathermap.org:80 "GET /data/2.5/weather?appid=30f2de85d595a6bbd49af9e38f8b54b0&q=London HTTP/1.1" 200 462
INFO:2020-11-29 17:10:59,284127.0.0.1 - - [29/Nov/2020 17:10:59] "[37mGET /index?newspaper=BBC&location=Merstham HTTP/1.1[0m" 200 -
DEBUG:2020-11-29 17:11:16,402Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG:2020-11-29 17:11:16,518https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22name%22%3A%22areaName%22%2C%22code%22%3A%22areaCode%22%2C%22cases%22%3A%7B%22daily%22%3A%22newCasesByPublishDate%22%2C%22cumulative%22%3A%22cumCasesByPublishDate%22%7D%2C%22deaths%22%3A%7B%22daily%22%3A%22newDeathsByDeathDate%22%2C%22cumulative%22%3A%22cumDeathsByDeathDate%22%7D%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG:2020-11-29 17:11:16,534Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
